Name,Keywords,Result
AI for Good,"good, ai","['Good Definition & Meaning', 'GOOD Definition & Meaning', 'GOOD: Inspiring Hope By Storytelling', 'Explore Culture ...', 'Good', ""What is the true meaning of the word 'good'?"", 'GOOD Synonyms: 1341 Similar and Opposite Words', 'Good (2008)', '369 Synonyms & Antonyms for GOOD', 'GOOD | definition in the Cambridge English Dictionary']"
Generative AI Fundamentals,generative ai fundamentals,"['Generative AI Fundamentals', 'Fundamentals of Generative AI - Training', 'Generative AI Fundamentals Specialization', 'Google Cloud Generative AI Skill Badge', 'Introduction to Generative AI | Learn AI Basics', 'Microsoft Azure AI Fundamentals: Generative AI - Training', 'Generative AI Fundamentals for Law Firms', 'Beginner: Introduction to Generative AI Learning Path', 'New generative AI trainings from Google Cloud']"
Microsoft Power BI Data Analyst,microsoft power bi data analyst,"['Microsoft Certified: Power BI Data Analyst Associate', 'Microsoft Power BI Data Analyst Professional Certificate', 'Course PL-300T00-A: Microsoft Power BI Data Analyst', 'Power BI Data Analyst Associate certification', 'is it worth it?', 'Data Analyst in Power BI', 'Power BI Data Analyst Certification vs ...', 'Microsoft Certified: Data Analyst Associate with Power BI', 'Power BI on Microsoft Learn', 'How I prepared for the Power BI Data Analyst Certification']"
AI For Business,"business, ai","['Small Business Administration', 'Business Definition & Meaning', 'Business Insider', 'business.com: Expert Business Advice', 'Tips', 'and Resources ...', 'What Is a Business? Understanding Different Types and ...', 'Get Listed on Google - Google Business Profile', 'Login and Access Meta Business Suite and Business Manager', 'Businessweek']"
AI For Everyone,"everyone, ai","['Everyone Definition & Meaning', 'Everyone for every body', 'EVERYONE Definition & Meaning', 'Body Care Products - Everyone', 'EVERYONE | definition in the Cambridge English Dictionary', 'Mitski - Everyone (Official Audio)', 'EVERYONE Synonyms: 11 Similar and Opposite Words', 'Amazon.com: Everyone', 'EveryONE - News and research from PLOS ONE', ""Everyone vs. Every Oneï¿½ï¿½ï¿½What's the Difference""]"
AI Product Management,ai product management,['']
Deep Learning,deep learning,"['Deep learning', 'What is Deep Learning?', 'Introduction to Deep Learning', 'Deep Learning - MATLAB & Simulink', 'Deep Learning Specialization [5 courses] (DeepLearning.AI)', 'Deep Learning', 'Deep Learning', ""Discover Deep Learning: AI's Game-Changing Technology!"", 'What is deep learning and how does it work?']"
Generative AI for Everyone,"generative ai, everyone","['What is Generative AI? Everything You Need to Know', 'What is ChatGPT', 'DALL-E', 'and generative AI?', 'Google Generative AI', 'Generative artificial intelligence', 'Explained: Generative AI | MIT News', 'Generative AI ï¿½ï¿½ï¿½ What is it and How Does it Work?', 'Generative AI Examples', 'What is Generative AI?']"
Generative AI with Large Language Models,"large language models, generative ai","['Large language model', 'What are Large Language Models? - LLM AI Explained', 'What Are Large Language Models (LLMs)?', 'What are Large Language Models?', 'What is a large language model (LLM)?', 'What is a Large Language Model? - Elastic', 'What are Large Language Models(LLMs)?', 'Introduction to Large Language Models | Machine Learning', 'What are Large Language Models', 'Large language models can do jaw-dropping things. But ...']"
IBM Applied AI,ibm applied ai,"['IBM AI Developer Professional Certificate', 'Badge: IBM Applied AI Professional Certificate - IBM Training', 'Applied AI with DeepLearning Course by IBM', 'A Review of IBM Applied AI Professional Certificate ...', 'Badge: IBM Applied AI Professional Certificate (V3)', 'IBM Applied AI Professional Certificate Online', 'I took the IBM AI Engineering Professional Certificate on ...', 'Online Course: IBM Applied AI from IBM', 'IBM Applied AI Professional Certificate (V2)']"
